region,median_household_income,median_family_income,income_per_capita
Appling County,30266,34890,15044
Atkinson County,26470,32688,12178
Bacon County,26910,32579,14289
Baker County,30338,36438,16969
Baldwin County,35159,42736,16271
Banks County,38523,43136,17424
Barrow County,45019,49722,18350
Bartow County,43660,49198,18989
Ben Hill County,27100,33023,14093
Berrien County,30044,34643,16375
Bibb County,34532,43479,19058
Bleckley County,33448,41095,15934
Brantley County,30361,35534,13713
Brooks County,26911,32382,13977
Bryan County,48345,53680,19794
Bulloch County,29499,42199,16080
Burke County,27877,31660,13136
Butts County,39879,44937,17016
Calhoun County,24588,31019,11839
Camden County,41056,45005,16445
Candler County,25022,30705,12958
Carroll County,38799,44642,17656
Catoosa County,39998,45710,18009
Charlton County,27869,33364,12920
Chatham County,37752,46125,21152
Chattahoochee County,37106,38313,14049
Chattooga County,30664,36230,14508
Cherokee County,60896,66419,24871
Clarke County,28403,41607,17123
Clay County,21448,27837,16819
Clayton County,42697,46782,18079
Clinch County,26755,31755,13023
Cobb County,58289,67649,27863
Coffee County,30710,35936,15530
Colquitt County,28539,34792,14457
Columbia County,55682,61232,23496
Cook County,27582,31820,13465
Coweta County,52706,58750,21949
Crawford County,37848,41799,15768
Crisp County,26547,32747,14695
Dade County,35259,39481,16127
Dawson County,47486,52320,22520
Decatur County,28820,32635,15063
DeKalb County,49117,54018,23968
Dodge County,27607,34718,14468
Dooly County,27980,35337,13628
Dougherty County,30934,36655,16645
Douglas County,50108,54082,21172
Early County,25629,31215,14936
Echols County,25851,27700,15727
Effingham County,46505,50351,18873
Elbert County,28724,34276,14535
Emanuel County,24383,31113,13627
Evans County,25447,31074,12758
Fannin County,30612,35258,16269
Fayette County,71227,78853,29464
Floyd County,35615,42302,17808
Forsyth County,68890,74003,29114
Franklin County,32134,38463,15767
Fulton County,47321,58143,30003
Gilmer County,35140,38863,17147
Glascock County,29743,36629,14185
Glynn County,38765,46984,21707
Gordon County,38831,43184,17586
Grady County,28656,34253,14278
Greene County,33479,39794,23389
Gwinnett County,60537,66693,25006
Habersham County,36321,42235,17706
Hall County,44908,50100,19690
Hancock County,22003,27232,10916
Haralson County,31656,38373,15823
Harris County,47763,54834,21680
Hart County,32833,39600,16714
Heard County,33038,39306,15132
Henry County,57309,61607,22945
Houston County,43638,50384,19515
Irwin County,30257,35234,14867
Jackson County,40349,46211,17808
Jasper County,39890,43271,19249
Jeff Davis County,27310,30930,13780
Jefferson County,26120,31380,13491
Jenkins County,24025,29539,13400
Johnson County,23848,29663,12384
Jones County,43301,48966,19126
Lamar County,37087,43481,16666
Lanier County,29171,34512,13690
Laurens County,32010,38586,16763
Lee County,48600,53132,19897
Liberty County,33477,35031,13855
Lincoln County,31952,36657,15351
Long County,30640,32473,12586
Lowndes County,32132,41580,16683
Lumpkin County,39167,46368,18062
McDuffie County,31920,38235,18005
McIntosh County,30102,34363,14253
Macon County,24224,29402,11820
Madison County,36347,42189,16998
Marion County,29145,31928,14044
Meriwether County,31870,37931,15708
Miller County,27335,31866,15435
Mitchell County,26581,31262,13042
Monroe County,44195,51093,19580
Montgomery County,30240,38418,14182
Morgan County,40249,46146,18823
Murray County,36996,42155,16230
Muscogee County,34798,41244,18262
Newton County,44875,49748,19317
Oconee County,55211,61502,24153
Oglethorpe County,35578,41443,17089
Paulding County,52161,56039,19974
Peach County,34453,41570,16031
Pickens County,41387,47123,19774
Pierce County,29895,35903,14230
Pike County,44370,49798,17661
Polk County,32328,37847,15617
Pulaski County,31895,38924,16435
Putnam County,36956,43262,20161
Quitman County,25875,30691,14301
Rabun County,33899,39992,20608
Randolph County,22004,30278,11809
Richmond County,33086,38509,17088
Rockdale County,53599,60065,22300
Schley County,32035,36215,14981
Screven County,29312,34753,13894
Seminole County,27094,33221,14635
Spalding County,36221,41631,16791
Stephens County,29466,35660,15529
Stewart County,24789,29611,16071
Sumter County,30904,35379,15083
Talbot County,26611,35208,14539
Taliaferro County,23750,27800,15498
Tattnall County,28664,35951,13439
Taylor County,25148,30000,13432
Telfair County,26097,32513,14197
Terrell County,26969,31693,13894
Thomas County,31115,39239,16211
Tift County,32616,39083,16833
Toombs County,26811,34478,14252
Towns County,31950,37295,18221
Treutlen County,24644,32762,13122
Troup County,35469,41891,17626
Turner County,25676,31445,13454
Twiggs County,31608,38715,14259
Union County,31893,39776,18845
Upson County,31201,37418,17053
Walker County,32406,39034,15867
Walton County,46479,52386,19470
Ware County,28360,34372,14384
Warren County,27366,32868,14022
Washington County,29910,36325,15565
Wayne County,32766,39442,15628
Webster County,27992,32462,14772
Wheeler County,24053,29696,13005
White County,36084,40704,17193
Whitfield County,39377,44652,18515
Wilcox County,27483,34968,14014
Wilkes County,27644,36219,15020
Wilkinson County,32723,39349,14658
Worth County,32384,38887,15856